m1,m2,n,obs,indep_sim,acc_min,same_provider
databricks_dbrx-instruct,google_gemini-1.5-pro-002,311,0.5787781350482315,0.887459807073955,0.6572995202193284,False
databricks_dbrx-instruct,google_gemma-2-27b,763,0.5321100917431193,0.8125819134993447,0.6507882111034955,False
databricks_dbrx-instruct,google_text-unicorn@001,626,0.4904153354632588,0.8817891373801917,0.6572995202193284,False
databricks_dbrx-instruct,meta_llama-3.1-405b-instruct-turbo,305,0.6327868852459017,0.9344262295081968,0.6572995202193284,False
databricks_dbrx-instruct,meta_llama-3.1-70b-instruct-turbo,412,0.6456310679611651,0.9029126213592233,0.6572995202193284,False
databricks_dbrx-instruct,meta_llama-3.1-8b-instruct-turbo,624,0.33814102564102566,0.6939102564102564,0.5092529129540782,False
databricks_dbrx-instruct,microsoft_phi-3-medium-4k-instruct,412,0.6796116504854369,0.8980582524271845,0.6572995202193284,False
databricks_dbrx-instruct,mistralai_mistral-7b-v0.1,705,0.502127659574468,0.8226950354609929,0.4986291980808773,False
databricks_dbrx-instruct,mistralai_mistral-large-2407,362,0.5248618784530387,0.8453038674033149,0.6572995202193284,False
databricks_dbrx-instruct,openai_gpt-3.5-turbo-0125,761,0.4940867279894875,0.8370565045992115,0.570938999314599,False
databricks_dbrx-instruct,openai_gpt-4o-2024-08-06,380,0.6236842105263158,0.868421052631579,0.6572995202193284,False
databricks_dbrx-instruct,openai_gpt-4o-mini-2024-07-18,723,0.5850622406639004,0.8755186721991701,0.6572995202193284,False
databricks_dbrx-instruct,qwen_qwen1.5-7b,784,0.5561224489795918,0.8316326530612245,0.5407813570939,False
databricks_dbrx-instruct,qwen_qwen2.5-72b-instruct-turbo,318,0.5880503144654088,0.889937106918239,0.6572995202193284,False
databricks_dbrx-instruct,writer_palmyra-x-v3,626,0.4904153354632588,0.8769968051118211,0.6572995202193284,False
deepseek-ai_deepseek-llm-67b-chat,google_gemini-1.5-pro-002,324,0.5679012345679012,0.8858024691358025,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,google_gemma-2-27b,672,0.5922619047619048,0.8348214285714286,0.6507882111034955,False
deepseek-ai_deepseek-llm-67b-chat,google_text-unicorn@001,579,0.689119170984456,0.8981001727115717,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,meta_llama-3.1-405b-instruct-turbo,317,0.583596214511041,0.9369085173501577,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,meta_llama-3.1-70b-instruct-turbo,441,0.5714285714285714,0.9115646258503401,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,meta_llama-3.1-8b-instruct-turbo,663,0.3046757164404223,0.7088989441930619,0.5092529129540782,False
deepseek-ai_deepseek-llm-67b-chat,microsoft_phi-3-medium-4k-instruct,459,0.5816993464052288,0.8932461873638344,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,mistralai_mistral-7b-v0.1,725,0.56,0.8372413793103448,0.4986291980808773,False
deepseek-ai_deepseek-llm-67b-chat,mistralai_mistral-large-2407,432,0.5578703703703703,0.8495370370370371,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,openai_gpt-3.5-turbo-0125,768,0.71484375,0.8450520833333334,0.570938999314599,False
deepseek-ai_deepseek-llm-67b-chat,openai_gpt-4o-2024-08-06,369,0.48509485094850946,0.8753387533875339,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,openai_gpt-4o-mini-2024-07-18,696,0.6048850574712644,0.896551724137931,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,qwen_qwen1.5-7b,761,0.6530880420499343,0.8318002628120894,0.5407813570939,False
deepseek-ai_deepseek-llm-67b-chat,qwen_qwen2.5-72b-instruct-turbo,372,0.5913978494623656,0.8870967741935484,0.6569568197395477,False
deepseek-ai_deepseek-llm-67b-chat,writer_palmyra-x-v3,579,0.689119170984456,0.8791018998272885,0.6569568197395477,False
google_gemini-1.5-pro-002,google_gemma-2-27b,334,0.5658682634730539,0.8592814371257484,0.6507882111034955,True
google_gemini-1.5-pro-002,google_text-unicorn@001,297,0.622895622895623,0.9124579124579124,0.7097326936257711,True
google_gemini-1.5-pro-002,meta_llama-3.1-405b-instruct-turbo,227,0.7092511013215859,0.920704845814978,0.8468128855380398,False
google_gemini-1.5-pro-002,meta_llama-3.1-70b-instruct-turbo,255,0.6901960784313725,0.9098039215686274,0.7998629198080878,False
google_gemini-1.5-pro-002,meta_llama-3.1-8b-instruct-turbo,311,0.3247588424437299,0.6688102893890675,0.5092529129540782,False
google_gemini-1.5-pro-002,microsoft_phi-3-medium-4k-instruct,257,0.6575875486381323,0.8910505836575876,0.7268677176148046,False
google_gemini-1.5-pro-002,mistralai_mistral-7b-v0.1,301,0.40863787375415284,0.8471760797342193,0.4986291980808773,False
google_gemini-1.5-pro-002,mistralai_mistral-large-2407,262,0.6603053435114504,0.8702290076335878,0.7875257025359835,False
google_gemini-1.5-pro-002,openai_gpt-3.5-turbo-0125,331,0.5740181268882175,0.8731117824773413,0.570938999314599,False
google_gemini-1.5-pro-002,openai_gpt-4o-2024-08-06,271,0.7011070110701108,0.8708487084870848,0.8159698423577793,False
google_gemini-1.5-pro-002,openai_gpt-4o-mini-2024-07-18,328,0.6524390243902439,0.9054878048780488,0.6665524331734064,False
google_gemini-1.5-pro-002,qwen_qwen1.5-7b,312,0.5512820512820513,0.8365384615384616,0.5407813570939,False
google_gemini-1.5-pro-002,qwen_qwen2.5-72b-instruct-turbo,258,0.7131782945736435,0.9186046511627907,0.817340644276902,False
google_gemini-1.5-pro-002,writer_palmyra-x-v3,297,0.622895622895623,0.9090909090909091,0.7093899931459904,False
google_gemma-2-27b,google_text-unicorn@001,641,0.6162246489859594,0.8408736349453978,0.6507882111034955,True
google_gemma-2-27b,meta_llama-3.1-405b-instruct-turbo,297,0.5791245791245792,0.8754208754208754,0.6507882111034955,False
google_gemma-2-27b,meta_llama-3.1-70b-instruct-turbo,411,0.6034063260340633,0.878345498783455,0.6507882111034955,False
google_gemma-2-27b,meta_llama-3.1-8b-instruct-turbo,638,0.27899686520376177,0.6677115987460815,0.5092529129540782,False
google_gemma-2-27b,microsoft_phi-3-medium-4k-instruct,412,0.5728155339805825,0.866504854368932,0.6507882111034955,False
google_gemma-2-27b,mistralai_mistral-7b-v0.1,679,0.4182621502209131,0.7997054491899853,0.4986291980808773,False
google_gemma-2-27b,mistralai_mistral-large-2407,356,0.48314606741573035,0.8146067415730337,0.6507882111034955,False
google_gemma-2-27b,openai_gpt-3.5-turbo-0125,762,0.562992125984252,0.7834645669291339,0.570938999314599,False
google_gemma-2-27b,openai_gpt-4o-2024-08-06,415,0.5542168674698795,0.8072289156626506,0.6507882111034955,False
google_gemma-2-27b,openai_gpt-4o-mini-2024-07-18,730,0.5589041095890411,0.8246575342465754,0.6507882111034955,False
google_gemma-2-27b,qwen_qwen1.5-7b,752,0.45611702127659576,0.7832446808510638,0.5407813570939,False
google_gemma-2-27b,qwen_qwen2.5-72b-instruct-turbo,349,0.5673352435530086,0.836676217765043,0.6507882111034955,False
google_gemma-2-27b,writer_palmyra-x-v3,642,0.6152647975077882,0.8333333333333334,0.6507882111034955,False
google_text-unicorn@001,meta_llama-3.1-405b-instruct-turbo,288,0.6597222222222222,0.9826388888888888,0.7097326936257711,False
google_text-unicorn@001,meta_llama-3.1-70b-instruct-turbo,379,0.662269129287599,0.9551451187335093,0.7097326936257711,False
google_text-unicorn@001,meta_llama-3.1-8b-instruct-turbo,521,0.33589251439539347,0.7351247600767754,0.5092529129540782,False
google_text-unicorn@001,microsoft_phi-3-medium-4k-instruct,402,0.5920398009950248,0.9378109452736318,0.7097326936257711,False
google_text-unicorn@001,mistralai_mistral-7b-v0.1,585,0.49743589743589745,0.8427350427350427,0.4986291980808773,False
google_text-unicorn@001,mistralai_mistral-large-2407,343,0.5539358600583091,0.8862973760932945,0.7097326936257711,False
google_text-unicorn@001,openai_gpt-3.5-turbo-0125,664,0.6506024096385542,0.8689759036144579,0.570938999314599,False
google_text-unicorn@001,openai_gpt-4o-2024-08-06,367,0.5640326975476839,0.9128065395095368,0.7097326936257711,False
google_text-unicorn@001,openai_gpt-4o-mini-2024-07-18,637,0.5996860282574569,0.9215070643642073,0.6665524331734064,False
google_text-unicorn@001,qwen_qwen1.5-7b,660,0.5454545454545454,0.8590909090909091,0.5407813570939,False
google_text-unicorn@001,qwen_qwen2.5-72b-instruct-turbo,329,0.6443768996960486,0.9635258358662614,0.7097326936257711,False
google_text-unicorn@001,writer_palmyra-x-v3,845,1.0,0.9266272189349113,0.7093899931459904,False
meta_llama-3.1-405b-instruct-turbo,meta_llama-3.1-70b-instruct-turbo,319,0.8432601880877743,0.9749216300940439,0.7998629198080878,True
meta_llama-3.1-405b-instruct-turbo,meta_llama-3.1-8b-instruct-turbo,315,0.5365079365079365,0.707936507936508,0.5092529129540782,True
meta_llama-3.1-405b-instruct-turbo,microsoft_phi-3-medium-4k-instruct,281,0.7651245551601423,0.9395017793594306,0.7268677176148046,False
meta_llama-3.1-405b-instruct-turbo,mistralai_mistral-7b-v0.1,291,0.5223367697594502,0.9140893470790378,0.4986291980808773,False
meta_llama-3.1-405b-instruct-turbo,mistralai_mistral-large-2407,289,0.7162629757785467,0.9134948096885813,0.7875257025359835,False
meta_llama-3.1-405b-instruct-turbo,openai_gpt-3.5-turbo-0125,321,0.5295950155763239,0.897196261682243,0.570938999314599,False
meta_llama-3.1-405b-instruct-turbo,openai_gpt-4o-2024-08-06,246,0.7195121951219512,0.943089430894309,0.8159698423577793,False
meta_llama-3.1-405b-instruct-turbo,openai_gpt-4o-mini-2024-07-18,314,0.6656050955414012,0.9617834394904459,0.6665524331734064,False
meta_llama-3.1-405b-instruct-turbo,qwen_qwen1.5-7b,298,0.5201342281879194,0.9026845637583892,0.5407813570939,False
meta_llama-3.1-405b-instruct-turbo,qwen_qwen2.5-72b-instruct-turbo,272,0.7316176470588235,0.9669117647058824,0.817340644276902,False
meta_llama-3.1-405b-instruct-turbo,writer_palmyra-x-v3,289,0.6608996539792388,0.9619377162629758,0.7093899931459904,False
meta_llama-3.1-70b-instruct-turbo,meta_llama-3.1-8b-instruct-turbo,452,0.5132743362831859,0.7212389380530974,0.5092529129540782,True
meta_llama-3.1-70b-instruct-turbo,microsoft_phi-3-medium-4k-instruct,365,0.7178082191780822,0.9315068493150684,0.7268677176148046,False
meta_llama-3.1-70b-instruct-turbo,mistralai_mistral-7b-v0.1,395,0.48860759493670886,0.8860759493670886,0.4986291980808773,False
meta_llama-3.1-70b-instruct-turbo,mistralai_mistral-large-2407,343,0.6180758017492711,0.8979591836734694,0.7875257025359835,False
meta_llama-3.1-70b-instruct-turbo,openai_gpt-3.5-turbo-0125,432,0.5069444444444444,0.8773148148148148,0.570938999314599,False
meta_llama-3.1-70b-instruct-turbo,openai_gpt-4o-2024-08-06,292,0.6404109589041096,0.9006849315068494,0.7998629198080878,False
meta_llama-3.1-70b-instruct-turbo,openai_gpt-4o-mini-2024-07-18,422,0.6445497630331753,0.9241706161137441,0.6665524331734064,False
meta_llama-3.1-70b-instruct-turbo,qwen_qwen1.5-7b,436,0.5321100917431193,0.8646788990825688,0.5407813570939,False
meta_llama-3.1-70b-instruct-turbo,qwen_qwen2.5-72b-instruct-turbo,296,0.6925675675675675,0.9459459459459459,0.7998629198080878,False
meta_llama-3.1-70b-instruct-turbo,writer_palmyra-x-v3,380,0.6605263157894737,0.9289473684210526,0.7093899931459904,False
meta_llama-3.1-8b-instruct-turbo,microsoft_phi-3-medium-4k-instruct,466,0.47854077253218885,0.7253218884120172,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,mistralai_mistral-7b-v0.1,803,0.48194271481942713,0.6811955168119551,0.4986291980808773,False
meta_llama-3.1-8b-instruct-turbo,mistralai_mistral-large-2407,434,0.4423963133640553,0.6658986175115207,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,openai_gpt-3.5-turbo-0125,745,0.25100671140939596,0.6684563758389261,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,openai_gpt-4o-2024-08-06,358,0.40502793296089384,0.6731843575418994,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,openai_gpt-4o-mini-2024-07-18,594,0.3333333333333333,0.7188552188552189,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,qwen_qwen1.5-7b,773,0.3053040103492885,0.6895213454075032,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,qwen_qwen2.5-72b-instruct-turbo,395,0.4430379746835443,0.6936708860759494,0.5092529129540782,False
meta_llama-3.1-8b-instruct-turbo,writer_palmyra-x-v3,521,0.33589251439539347,0.72552783109405,0.5092529129540782,False
microsoft_phi-3-medium-4k-instruct,mistralai_mistral-7b-v0.1,450,0.5044444444444445,0.8466666666666667,0.4986291980808773,False
microsoft_phi-3-medium-4k-instruct,mistralai_mistral-large-2407,346,0.6445086705202312,0.8757225433526011,0.7268677176148046,False
microsoft_phi-3-medium-4k-instruct,openai_gpt-3.5-turbo-0125,485,0.534020618556701,0.8907216494845361,0.570938999314599,False
microsoft_phi-3-medium-4k-instruct,openai_gpt-4o-2024-08-06,301,0.6445182724252492,0.9069767441860465,0.7268677176148046,False
microsoft_phi-3-medium-4k-instruct,openai_gpt-4o-mini-2024-07-18,431,0.6496519721577726,0.9280742459396751,0.6665524331734064,False
microsoft_phi-3-medium-4k-instruct,qwen_qwen1.5-7b,477,0.5576519916142557,0.8553459119496856,0.5407813570939,False
microsoft_phi-3-medium-4k-instruct,qwen_qwen2.5-72b-instruct-turbo,315,0.692063492063492,0.9301587301587302,0.7268677176148046,False
microsoft_phi-3-medium-4k-instruct,writer_palmyra-x-v3,402,0.5920398009950248,0.9154228855721394,0.7093899931459904,False
mistralai_mistral-7b-v0.1,mistralai_mistral-large-2407,413,0.5181598062953995,0.8256658595641646,0.4986291980808773,True
mistralai_mistral-7b-v0.1,openai_gpt-3.5-turbo-0125,840,0.544047619047619,0.794047619047619,0.4986291980808773,False
mistralai_mistral-7b-v0.1,openai_gpt-4o-2024-08-06,345,0.4463768115942029,0.855072463768116,0.4986291980808773,False
mistralai_mistral-7b-v0.1,openai_gpt-4o-mini-2024-07-18,715,0.5482517482517483,0.8517482517482518,0.4986291980808773,False
mistralai_mistral-7b-v0.1,qwen_qwen1.5-7b,889,0.5860517435320585,0.7907761529808774,0.4986291980808773,False
mistralai_mistral-7b-v0.1,qwen_qwen2.5-72b-instruct-turbo,350,0.5085714285714286,0.8457142857142858,0.4986291980808773,False
mistralai_mistral-7b-v0.1,writer_palmyra-x-v3,586,0.49658703071672355,0.8481228668941979,0.4986291980808773,False
mistralai_mistral-large-2407,openai_gpt-3.5-turbo-0125,456,0.4934210526315789,0.8267543859649122,0.570938999314599,False
mistralai_mistral-large-2407,openai_gpt-4o-2024-08-06,316,0.6012658227848101,0.8449367088607594,0.7875257025359835,False
mistralai_mistral-large-2407,openai_gpt-4o-mini-2024-07-18,382,0.5575916230366492,0.8979057591623036,0.6665524331734064,False
mistralai_mistral-large-2407,qwen_qwen1.5-7b,424,0.5023584905660378,0.8278301886792453,0.5407813570939,False
mistralai_mistral-large-2407,qwen_qwen2.5-72b-instruct-turbo,331,0.6706948640483383,0.879154078549849,0.7875257025359835,False
mistralai_mistral-large-2407,writer_palmyra-x-v3,343,0.5539358600583091,0.8717201166180758,0.7093899931459904,False
openai_gpt-3.5-turbo-0125,openai_gpt-4o-2024-08-06,409,0.49877750611246946,0.8533007334963325,0.570938999314599,True
openai_gpt-3.5-turbo-0125,openai_gpt-4o-mini-2024-07-18,796,0.6419597989949749,0.8580402010050251,0.570938999314599,True
openai_gpt-3.5-turbo-0125,qwen_qwen1.5-7b,940,0.6436170212765957,0.8021276595744681,0.5407813570939,False
openai_gpt-3.5-turbo-0125,qwen_qwen2.5-72b-instruct-turbo,394,0.5609137055837563,0.8553299492385786,0.570938999314599,False
